Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
,,,,,5,"Sarsland, Tristan Sarsland, Tristan",38.0,6.0,10.0,16.0,123.0,0.049,-1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,9-26,8.0,0.0,1.0,34.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44,"Brassington, Ty Brassington, Ty",38.0,4.0,12.0,16.0,83.0,0.048,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16-40,15.0,0.0,1.0,54.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,"Mayich, Matthew Mayich, Matthew",34.0,7.0,8.0,15.0,53.0,0.132,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14-28,14.0,0.0,0.0,28.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,81,"Letourneau, Jace Letourneau, Jace",26.0,7.0,6.0,13.0,24.0,0.292,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,10-20,10.0,0.0,0.0,9.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,37,"St-Denis, Mael St-Denis, Mael",32.0,3.0,6.0,9.0,51.0,0.059,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9-34,7.0,0.0,2.0,16.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,72,"Sookro, Bryce Sookro, Bryce",38.0,1.0,8.0,9.0,42.0,0.024,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15-41,13.0,1.0,1.0,33.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,"O'Donnell, Shawn O'Donnell, Shawn",34.0,3.0,3.0,6.0,32.0,0.094,-8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5-10,5.0,0.0,0.0,8.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26,"Bishop, William Bishop, William",31.0,1.0,4.0,5.0,19.0,0.053,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16-32,16.0,0.0,0.0,16.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,86,"Misaljevic, Adrian Misaljevic, Adrian",6.0,2.0,2.0,4.0,9.0,0.222,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,3.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28,"Hellyer, Conyr Hellyer, Conyr",36.0,0.0,4.0,4.0,24.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-18,4.0,0.0,1.0,17.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
