Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
,,,,,44,"Callin, Anthony Callin, Anthony",2.0,0.0,1.0,1.0,6.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,"Dunne, Josh Dunne, Josh",1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,2.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,"Taylor, Kaelan Taylor, Kaelan",21.0,0.0,1.0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-8,4.0,0.0,0.0,26.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18,"Beck, Noah Beck, Noah",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,"Campbell, Alex Campbell, Alex",1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,2.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,"Campoli, Nick Campoli, Nick",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,"Collins, Jamie Collins, Jamie",1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,"Gosselin, Mathieu Gosselin, Mathieu",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,1.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,"Haider, Ethan Haider, Ethan",18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,"Haider, Ethan Haider, Ethan",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,"Hurley, Brian Hurley, Brian",1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,"Jacome, Jack Jacome, Jack",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,"Macfaul, dustyn Macfaul, dustyn",1.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,0.0,,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,"Maclean, john Maclean, john",7.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,4.0,,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,"MacLean, John Carter MacLean, John Carter",1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,"McCarthy, Connor McCarthy, Connor",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,3.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,"McFaul, Dustyn McFaul, Dustyn",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,42,"Mucitelli, Jacob Mucitelli, Jacob",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,33,"Oldham, Kris Oldham, Kris",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23,"Power, Jordan Power, Jordan",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,"Romano, Anthony Romano, Anthony",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12,"Silye, David Silye, David",1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,"Taylor, Kaelan Taylor, Kaelan",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,"Underwood, Michael Underwood, Michael",1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Team,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,0.0,,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,22.0,62.0,95.0,157.0,634.0,0.098,50.0,16.0,1.0,13.0,11.0,1.0,2.0,0.0,4.0,99-220,95.0,2.0,2.0,276.0,,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,22.0,52.0,84.0,136.0,601.0,0.087,-52.0,15.0,1.0,9.0,7.0,3.0,3.0,1.0,4.0,97-227,91.0,3.0,3.0,295.0,,2020-21,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,"Haider, Ethan Haider, Ethan",,,,,,,,1.0,0.0,,,,,,,,,,,,View Bio,2020-21,Table_2,1-1,60:00,1.0,1.0,0.0,30.0,0.968,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,"Haider, Ethan Haider, Ethan",,,,,,,,10.0,1.0,,,,,,,,,,,,View Bio,2020-21,Table_2,18-14,895:56,31.0,2.08,0.0,340.0,0.916,6.0,5.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,33,"Oldham, Kris Oldham, Kris",,,,,,,,4.0,0.0,,,,,,,,,,,,View Bio,2020-21,Table_2,14-7,379:30,18.0,2.85,0.0,172.0,0.905,4.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,42,"Mucitelli, Jacob Mucitelli, Jacob",,,,,,,,0.0,0.0,,,,,,,,,,,,View Bio,2020-21,Table_2,10-0,08:34,1.0,7.0,0.0,4.0,0.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Empty Net,,,,,,,,0.0,0.0,,,,,,,,,,,,,2020-21,Table_2,22-0,09:22,1.0,6.41,1.0,3.0,0.6,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,,,,,,,,15.0,1.0,,,,,,,,,,,,,2020-21,Table_2,22,1353:22,52.0,2.31,1.0,549.0,0.913,11.0,7.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,,,,,,,,16.0,1.0,,,,,,,,,,,,,2020-21,Table_2,22,1353:22,62.0,2.79,1.0,571.0,0.901,7.0,11.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17,"Tsekos, Zach Tsekos, Zach",20.0,3.0,14.0,17.0,40.0,0.075,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2-4,2.0,0.0,0.0,18.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44,"Callin, Anthony Callin, Anthony",20.0,9.0,7.0,16.0,55.0,0.164,11.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8-16,8.0,0.0,0.0,9.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,"Campbell, Alex Campbell, Alex",20.0,3.0,12.0,15.0,36.0,0.083,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,10.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,"Jacome, Jack Jacome, Jack",20.0,4.0,10.0,14.0,46.0,0.087,-1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1-2,1.0,0.0,0.0,6.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,"Romano, Anthony Romano, Anthony",20.0,7.0,5.0,12.0,46.0,0.152,-2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5-10,5.0,0.0,0.0,6.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,"Gosselin, Mathieu Gosselin, Mathieu",20.0,6.0,6.0,12.0,35.0,0.171,14.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9-18,9.0,0.0,0.0,7.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26,"Cooper, Grant Cooper, Grant",20.0,7.0,3.0,10.0,53.0,0.132,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4-8,4.0,0.0,0.0,18.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,"McCarthy, Connor McCarthy, Connor",20.0,3.0,5.0,8.0,40.0,0.075,-2.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6-12,6.0,0.0,0.0,21.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,"Campoli, Nick Campoli, Nick",20.0,3.0,2.0,5.0,27.0,0.111,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5-21,3.0,1.0,1.0,1.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,"Mobley, Luke Mobley, Luke",20.0,2.0,3.0,5.0,18.0,0.111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4-8,4.0,0.0,0.0,13.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,"Dunne, Josh Dunne, Josh",13.0,2.0,2.0,4.0,32.0,0.063,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12-24,12.0,0.0,0.0,9.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23,"Power, Jordan Power, Jordan",20.0,1.0,3.0,4.0,24.0,0.042,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-8,4.0,0.0,0.0,16.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,"Collins, Jamie Collins, Jamie",14.0,1.0,2.0,3.0,13.0,0.077,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2-4,2.0,0.0,0.0,8.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,"Hurley, Brian Hurley, Brian",19.0,1.0,2.0,3.0,29.0,0.034,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,17.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,"Underwood, Michael Underwood, Michael",20.0,1.0,2.0,3.0,25.0,0.04,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12-24,12.0,0.0,0.0,32.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10,"Wicks, Nick Wicks, Nick",12.0,1.0,2.0,3.0,8.0,0.125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,3.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,"McFaul, Dustyn McFaul, Dustyn",17.0,0.0,3.0,3.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-15,0.0,1.0,1.0,16.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26,"Cooper, Grant Cooper, Grant",1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,2.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12,"Silye, David Silye, David",15.0,0.0,2.0,2.0,8.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,7.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,"Campbell, Charlie Campbell, Charlie",5.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,"Mobley, Luke Mobley, Luke",1.0,1.0,0.0,1.0,3.0,0.333,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17,"Tsekos, Zach Tsekos, Zach",1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18,"Beck, Noah Beck, Noah",18.0,0.0,1.0,1.0,4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-8,4.0,0.0,0.0,9.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,"Dunne, Josh Dunne, Josh",1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,2.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,"Taylor, Kaelan Taylor, Kaelan",20.0,0.0,1.0,1.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-8,4.0,0.0,0.0,26.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18,"Beck, Noah Beck, Noah",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44,"Callin, Anthony Callin, Anthony",1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,"Campbell, Alex Campbell, Alex",1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,2.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,"Campoli, Nick Campoli, Nick",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,"Collins, Jamie Collins, Jamie",1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,"Gosselin, Mathieu Gosselin, Mathieu",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,1.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,"Haider, Ethan Haider, Ethan",17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,"Haider, Ethan Haider, Ethan",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,"Hurley, Brian Hurley, Brian",1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,"Jacome, Jack Jacome, Jack",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,"Maclean, john Maclean, john",7.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,4.0,,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,"McCarthy, Connor McCarthy, Connor",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,3.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,"McFaul, Dustyn McFaul, Dustyn",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,42,"Mucitelli, Jacob Mucitelli, Jacob",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,33,"Oldham, Kris Oldham, Kris",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23,"Power, Jordan Power, Jordan",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2020-21,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
